order_id,order_line_no,store_id,order_dt,dow,is_weekend,channel,payment_method,customer_id,staff_id,holiday_tag,is_refund,item_sku,item_name,category,unit_price_gbp,quantity,line_total_gbp,promo_code
f438c78c-b68d-4cba-8f07-e01121688a57,1,1,01/01/2023 13:39,7,TRUE,Deliveroo,Online,,,NewYearsDay,FALSE,MA_GARLIC_CHILLI,Garlic Chilli,Main,13.7,1,13.7,
f438c78c-b68d-4cba-8f07-e01121688a57,2,1,01/01/2023 13:39,7,TRUE,Deliveroo,Online,,,NewYearsDay,FALSE,SI_POPADOM,Popadom (Plain/Spicy),Side,1,5,5,
f438c78c-b68d-4cba-8f07-e01121688a57,3,1,01/01/2023 13:39,7,TRUE,Deliveroo,Online,,,NewYearsDay,FALSE,MA_SYLHETI_CHIK,Sylheti Chicken,Main,14.5,1,14.5,
f438c78c-b68d-4cba-8f07-e01121688a57,4,1,01/01/2023 13:39,7,TRUE,Deliveroo,Online,,,NewYearsDay,FALSE,ST_FISH_TIKKA_S2,Fish Tikka F - Starter (2 strips),Starter,6.25,1,6.25,
f438c78c-b68d-4cba-8f07-e01121688a57,5,1,01/01/2023 13:39,7,TRUE,Deliveroo,Online,,,NewYearsDay,FALSE,DE_VANILLA_CHEESECAKE,Vanilla Cheesecake (slice),Dessert,3.95,1,3.95,
f438c78c-b68d-4cba-8f07-e01121688a57,6,1,01/01/2023 13:39,7,TRUE,Deliveroo,Online,,,NewYearsDay,FALSE,MA_SHASHLIK_CHIK,Shashlik Z - Chicken Tikka (8),Main,12.3,1,12.3,
f438c78c-b68d-4cba-8f07-e01121688a57,7,1,01/01/2023 13:39,7,TRUE,Deliveroo,Online,,,NewYearsDay,FALSE,ST_FISH_TIKKA_S2,Fish Tikka F - Starter (2 strips),Starter,6.25,1,6.25,
f438c78c-b68d-4cba-8f07-e01121688a57,8,1,01/01/2023 13:39,7,TRUE,Deliveroo,Online,,,NewYearsDay,FALSE,DE_CHOC_FUDGE_CAKE,Chocolate Fudge Cake (slice),Dessert,5.3,1,5.3,
f438c78c-b68d-4cba-8f07-e01121688a57,9,1,01/01/2023 13:39,7,TRUE,Deliveroo,Online,,,NewYearsDay,FALSE,ST_PANEER_TIKKA_S4,Paneer Tikka Z (VG) - Starter (4),Starter,6.25,1,6.25,
3f0b77da-e90a-4788-9667-b08e24f445d6,1,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,MA_SHASHLIK_PANEER,Shashlik Z - Paneer VG (8),Main,13.75,1,13.75,
3f0b77da-e90a-4788-9667-b08e24f445d6,2,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,SI_SAAG_ALOO,Saag Aloo (Side),Side,6,6,36,
3f0b77da-e90a-4788-9667-b08e24f445d6,3,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,DE_CHOC_FUDGE_CAKE,Chocolate Fudge Cake (slice),Dessert,5.3,1,5.3,
3f0b77da-e90a-4788-9667-b08e24f445d6,4,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,DR_CAN_330,Can 330ml,Drink,2.2,3,6.6,
3f0b77da-e90a-4788-9667-b08e24f445d6,5,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,BR_NAAN,Naan,Bread,2.95,3,8.85,
3f0b77da-e90a-4788-9667-b08e24f445d6,6,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,ST_VEG_TIKKA_S4,Tikka Z (VG/VN) - Starter (4),Starter,4.35,1,4.35,
3f0b77da-e90a-4788-9667-b08e24f445d6,7,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,ST_CHIK_TIKKA_S4,Chicken Tikka Z - Starter (4),Starter,5.2,1,5.2,
3f0b77da-e90a-4788-9667-b08e24f445d6,8,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,BR_PESHWARI_NAAN,Peshwari Naan,Bread,4.15,6,24.9,
3f0b77da-e90a-4788-9667-b08e24f445d6,9,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,MA_SHEEK_KEBAB_M4,Sheek Kebab (E M) - Main (4),Main,9.8,1,9.8,
3f0b77da-e90a-4788-9667-b08e24f445d6,10,1,01/01/2023 13:52,7,TRUE,Collection,Card,3523,2,NewYearsDay,FALSE,DE_VANILLA_CHEESECAKE,Vanilla Cheesecake (slice),Dessert,3.95,1,3.95,
a59df82b-ec97-43bf-917d-8a1969de3546,1,1,01/01/2023 21:16,7,TRUE,Uber Eats,Online,,,NewYearsDay,FALSE,MA_CHIK_TIKKA_M8,Chicken Tikka Z - Main (8),Main,9.4,1,9.4,
a59df82b-ec97-43bf-917d-8a1969de3546,2,1,01/01/2023 21:16,7,TRUE,Uber Eats,Online,,,NewYearsDay,FALSE,SI_BOMBAY_ALOO,Bombay Aloo (Side),Side,5.75,5,28.75,
a59df82b-ec97-43bf-917d-8a1969de3546,3,1,01/01/2023 21:16,7,TRUE,Uber Eats,Online,,,NewYearsDay,FALSE,MA_SHASHLIK_LAMB,Shashlik Z - Lamb Tikka (8),Main,13.75,1,13.75,
